2026-05-01 15:23:43, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 15:25:22, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 15:25:43, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 15:42:54, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 15:42:55, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-01 17:36:06, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-01 17:33:16, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-01 17:36:46, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 17:39:42, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 17:40:59, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 17:42:31, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 17:43:44, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 17:45:33, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 17:52:09, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 17:52:51, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 17:54:17, MOVE, v:1, k:ed@lista_d1, mode:PICK
2026-05-01 17:54:19, EXEC, v:1, k:ed@lista_d1, mode:FULL, rate:100
2026-05-01 17:54:20, MOVE, v:1, k:ed@lista_d1, mode:BACK
2026-05-01 17:54:22, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 17:54:17, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-01 17:54:17, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-01 17:54:18, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-01 17:54:18, MOVE, v:1, k:ed@lista_d1, mode:EDIT
2026-05-01 17:59:14, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-01 17:59:58, MOVE, v:1, k:ed@lista_d2, mode:BACK
2026-05-01 17:59:59, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 18:04:15, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-01 18:00:00, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-01 18:04:37, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-01 18:06:11, SELF, v:1, k:ed@lista_d2, self:1, concept:1
2026-05-01 18:06:14, MOVE, v:1, k:ed@lista_d2, mode:PICK
